Hotel id,City,Room id,Price,Room Type,Pricing Policy
Hotel_000,Atlantis,Hotel_000_Room_000,241,double,fairplay
Hotel_000,Atlantis,Hotel_000_Room_001,241,double,fairplay
Hotel_000,Atlantis,Hotel_000_Room_002,241,double,fairplay
Hotel_000,Atlantis,Hotel_000_Room_003,241,double,fairplay
Hotel_000,Atlantis,Hotel_000_Room_004,241,double,fairplay
Hotel_000,Atlantis,Hotel_000_Room_005,241,double,fairplay
Hotel_000,Atlantis,Hotel_000_Room_006,241,double,fairplay
Hotel_000,Atlantis,Hotel_000_Room_007,241,double,fairplay
Hotel_000,Atlantis,Hotel_000_Room_008,241,double,fairplay
Hotel_000,Atlantis,Hotel_000_Room_009,241,double,fairplay
Hotel_000,Atlantis,Hotel_000_Room_010,186,triple,fairplay
Hotel_000,Atlantis,Hotel_000_Room_011,186,triple,fairplay
Hotel_000,Atlantis,Hotel_000_Room_012,186,triple,fairplay
Hotel_000,Atlantis,Hotel_000_Room_013,186,triple,fairplay
Hotel_000,Atlantis,Hotel_000_Room_014,186,triple,fairplay
Hotel_000,Atlantis,Hotel_000_Room_015,186,triple,fairplay
Hotel_000,Atlantis,Hotel_000_Room_016,186,triple,fairplay
Hotel_000,Atlantis,Hotel_000_Room_017,186,triple,fairplay
Hotel_000,Atlantis,Hotel_000_Room_018,186,triple,fairplay
Hotel_000,Atlantis,Hotel_000_Room_019,186,triple,fairplay
Hotel_000,Atlantis,Hotel_000_Room_020,186,triple,fairplay
Hotel_000,Atlantis,Hotel_000_Room_021,186,triple,fairplay
Hotel_000,Atlantis,Hotel_000_Room_022,186,triple,fairplay
Hotel_000,Atlantis,Hotel_000_Room_023,212,suite,fairplay
Hotel_000,Atlantis,Hotel_000_Room_024,212,suite,fairplay
Hotel_001,Atlantis,Hotel_001_Room_000,85,single,fairplay
Hotel_001,Atlantis,Hotel_001_Room_001,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_002,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_003,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_004,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_005,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_006,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_007,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_008,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_009,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_010,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_011,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_012,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_013,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_014,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_015,84,double,fairplay
Hotel_001,Atlantis,Hotel_001_Room_016,100,triple,fairplay
Hotel_001,Atlantis,Hotel_001_Room_017,100,triple,fairplay
Hotel_001,Atlantis,Hotel_001_Room_018,100,triple,fairplay
Hotel_001,Atlantis,Hotel_001_Room_019,89,suite,fairplay
Hotel_001,Atlantis,Hotel_001_Room_020,89,suite,fairplay
Hotel_002,Atlantis,Hotel_002_Room_000,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_001,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_002,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_003,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_004,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_005,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_006,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_007,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_008,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_009,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_010,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_011,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_012,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_013,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_014,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_015,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_016,88,single,fairplay
Hotel_002,Atlantis,Hotel_002_Room_017,74,double,fairplay
Hotel_002,Atlantis,Hotel_002_Room_018,74,double,fairplay
Hotel_002,Atlantis,Hotel_002_Room_019,74,double,fairplay
Hotel_002,Atlantis,Hotel_002_Room_020,98,triple,fairplay
Hotel_003,Atlantis,Hotel_003_Room_000,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_001,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_002,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_003,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_004,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_005,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_006,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_007,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_008,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_009,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_010,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_011,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_012,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_013,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_014,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_015,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_016,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_017,225,single,fairplay
Hotel_003,Atlantis,Hotel_003_Room_018,248,triple,fairplay
Hotel_003,Atlantis,Hotel_003_Room_019,248,triple,fairplay
Hotel_003,Atlantis,Hotel_003_Room_020,234,suite,fairplay
Hotel_003,Atlantis,Hotel_003_Room_021,234,suite,fairplay
Hotel_003,Atlantis,Hotel_003_Room_022,234,suite,fairplay
Hotel_003,Atlantis,Hotel_003_Room_023,234,suite,fairplay
Hotel_004,Atlantis,Hotel_004_Room_000,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_001,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_002,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_003,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_004,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_005,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_006,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_007,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_008,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_009,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_010,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_011,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_012,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_013,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_014,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_015,162,single,fairplay
Hotel_004,Atlantis,Hotel_004_Room_016,167,double,fairplay
Hotel_004,Atlantis,Hotel_004_Room_017,161,triple,fairplay
Hotel_004,Atlantis,Hotel_004_Room_018,161,triple,fairplay
Hotel_004,Atlantis,Hotel_004_Room_019,161,triple,fairplay
Hotel_004,Atlantis,Hotel_004_Room_020,161,triple,fairplay
Hotel_004,Atlantis,Hotel_004_Room_021,161,triple,fairplay
Hotel_004,Atlantis,Hotel_004_Room_022,202,suite,fairplay
Hotel_005,Atlantis,Hotel_005_Room_000,31,single,+17%
Hotel_005,Atlantis,Hotel_005_Room_001,31,single,+17%
Hotel_005,Atlantis,Hotel_005_Room_002,31,single,+17%
Hotel_005,Atlantis,Hotel_005_Room_003,31,single,+17%
Hotel_005,Atlantis,Hotel_005_Room_004,31,single,+17%
Hotel_005,Atlantis,Hotel_005_Room_005,31,single,+17%
Hotel_005,Atlantis,Hotel_005_Room_006,34,double,+17%
Hotel_005,Atlantis,Hotel_005_Room_007,34,double,+17%
Hotel_005,Atlantis,Hotel_005_Room_008,34,double,+17%
Hotel_005,Atlantis,Hotel_005_Room_009,34,double,+17%
Hotel_005,Atlantis,Hotel_005_Room_010,34,double,+17%
Hotel_005,Atlantis,Hotel_005_Room_011,34,double,+17%
Hotel_005,Atlantis,Hotel_005_Room_012,34,double,+17%
Hotel_005,Atlantis,Hotel_005_Room_013,34,double,+17%
Hotel_005,Atlantis,Hotel_005_Room_014,34,double,+17%
Hotel_005,Atlantis,Hotel_005_Room_015,34,double,+17%
Hotel_005,Atlantis,Hotel_005_Room_016,34,double,+17%
Hotel_005,Atlantis,Hotel_005_Room_017,34,double,+17%
Hotel_005,Atlantis,Hotel_005_Room_018,40,triple,+17%
Hotel_005,Atlantis,Hotel_005_Room_019,40,triple,+17%
Hotel_005,Atlantis,Hotel_005_Room_020,40,triple,+17%
Hotel_005,Atlantis,Hotel_005_Room_021,40,triple,+17%
Hotel_005,Atlantis,Hotel_005_Room_022,40,triple,+17%
