Hotel id,City,Stars,Room id,Price,Room Type,Details,Rating
A for Athens,Barcelona,0,AT_0000_000,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_001,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_002,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_003,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_004,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_005,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_006,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_007,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_008,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_009,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_010,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_011,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_012,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_013,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_014,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_015,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_016,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_017,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_018,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_019,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
A for Athens,Barcelona,0,AT_0000_020,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1
Acropolis Hill Hotel,Barcelona,3,AT_0001_000,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5
Acropolis Hill Hotel,Barcelona,3,AT_0001_001,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5
Acropolis Hill Hotel,Barcelona,3,AT_0001_002,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5
Acropolis Hill Hotel,Barcelona,3,AT_0001_003,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5
Acropolis Hill Hotel,Barcelona,3,AT_0001_004,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5
Acropolis Hill Hotel,Barcelona,3,AT_0001_005,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5
Acropolis Hill Hotel,Barcelona,3,AT_0001_006,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5
Acropolis Hill Hotel,Barcelona,3,AT_0001_007,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5
Acropolis Hill Hotel,Barcelona,3,AT_0001_008,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5
Acropolis Hill Hotel,Barcelona,3,AT_0001_009,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5
