Hotel id,City,Stars,Room id,Price,Room Type,Details,Rating,Pricing Policy
A for Athens,Barcelona,0,AT_0000_000,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_001,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_002,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_003,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_004,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_005,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_006,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_007,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_008,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_009,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_010,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_011,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_012,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_013,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_014,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_015,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_016,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_017,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_018,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_019,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
A for Athens,Barcelona,0,AT_0000_020,191,Double,"Psiri, Athens - 0.8 km - Metro access -",9.1,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_000,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_001,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_002,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_003,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_004,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_005,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_006,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_007,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_008,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_009,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_010,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_011,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_012,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_013,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Acropolis Hill Hotel,Barcelona,3,AT_0001_014,162,Double,"Koukaki, Athens - 1.4 km - Metro access -",8.5,fairplay
Adrian Hotel,Barcelona,3,AT_0002_000,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_001,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_002,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_003,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_004,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_005,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_006,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_007,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_008,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_009,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_010,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_011,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_012,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_013,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_014,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_015,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_016,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_017,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_018,132,Double,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_019,157,Triple,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_020,157,Triple,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_021,157,Triple,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_022,157,Triple,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Adrian Hotel,Barcelona,3,AT_0002_023,157,Triple,"Plaka, Athens - 0.7 km - Metro access -",8.7,fairplay
Ambrosia Suites,Barcelona,0,AT_0003_000,69,Double,"Athens City Centre, Athens - 1.3 km - Metro access -",7.8,fairplay
