Hotel id,City,Stars,Room id,Price,Room Type,Details,Rating,Pricing Policy
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_000,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_001,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_002,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_003,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_004,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_005,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_006,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_007,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_008,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_009,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_010,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_011,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_012,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_013,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_014,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_015,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_016,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_017,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_018,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_019,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_020,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_021,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_022,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_023,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
H10 Casa Mimosa 4* Sup,Barcelona,4,BA_0000_024,193,Double,"Eixample, Barcelona - 1.2 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_000,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_001,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_002,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_003,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_004,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_005,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_006,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_007,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_008,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_009,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_010,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_011,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_012,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_013,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_014,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_015,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_016,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_017,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_018,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_019,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_020,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Occidental Barcelona 1929,Barcelona,3,BA_0001_021,130,Double,"Sants-Montjuïc, Barcelona - 2.3 km - Metro access -",9.3,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_000,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_001,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_002,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_003,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_004,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_005,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_006,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_007,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_008,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_009,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_010,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_011,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_012,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_013,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_014,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_015,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_016,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_017,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_018,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Motel One Barcelona-Ciutadella,Barcelona,3,BA_0002_019,120,Double,"Sant Martí, Barcelona - 1.3 km - Metro access - Beach nearby",9.2,fairplay
Hotel Granvia,Barcelona,3,BA_0003_000,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_001,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_002,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_003,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_004,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_005,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_006,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_007,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_008,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_009,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_010,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_011,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_012,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_013,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_014,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_015,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_016,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_017,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_018,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_019,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_020,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_021,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Granvia,Barcelona,3,BA_0003_022,176,Double,"Eixample, Barcelona - 350 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_000,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_001,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_002,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_003,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_004,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_005,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_006,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_007,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_008,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_009,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_010,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_011,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_012,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_013,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_014,142,Double,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_015,200,Triple,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_016,200,Triple,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_017,200,Triple,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_018,200,Triple,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_019,200,Triple,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_020,200,Triple,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_021,200,Triple,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_022,200,Triple,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_023,200,Triple,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_024,200,Triple,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Hotel Jazz,Barcelona,3,BA_0004_025,200,Triple,"Eixample, Barcelona - 400 m - Metro access - Beach nearby",9.1,fairplay
Boutique Hotel H10 Montcada,Barcelona,4,BA_0005_000,143,Single,"Ciutat Vella, Barcelona - 0.8 km - Metro access - Beach nearby",9,fairplay
Boutique Hotel H10 Montcada,Barcelona,4,BA_0005_001,143,Single,"Ciutat Vella, Barcelona - 0.8 km - Metro access - Beach nearby",9,fairplay
