Hotel id,City,Stars,Room id,Price,Room Type,Details,Rating
Acta Antibes,Barcelona,2,BA_0000_000,125,Double,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_001,125,Double,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_002,125,Double,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_003,125,Double,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_004,125,Double,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_005,125,Double,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_006,125,Double,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_007,125,Double,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_008,125,Double,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_009,125,Double,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_010,125,Double,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_011,125,Double,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_012,110,Single,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_013,110,Single,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_014,110,Single,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_015,110,Single,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_016,110,Single,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_017,110,Single,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_018,110,Single,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_019,110,Single,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_020,110,Single,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_021,110,Single,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_022,110,Single,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_023,110,Single,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_024,175,Triple,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_025,175,Triple,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_026,175,Triple,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_027,175,Triple,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_028,175,Triple,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Acta Antibes,Barcelona,2,BA_0000_029,175,Triple,"Eixample, Barcelona - 1.4 km - Metro access - Beach nearby",8.7
Catalonia Albeniz,Barcelona,3,BA_0001_000,106,Double,"Sant Martí, Barcelona - 2.7 km - Metro access - Beach nearby",8.7
Catalonia Albeniz,Barcelona,3,BA_0001_001,106,Double,"Sant Martí, Barcelona - 2.7 km - Metro access - Beach nearby",8.7
Catalonia Albeniz,Barcelona,3,BA_0001_002,106,Double,"Sant Martí, Barcelona - 2.7 km - Metro access - Beach nearby",8.7
Catalonia Albeniz,Barcelona,3,BA_0001_003,106,Double,"Sant Martí, Barcelona - 2.7 km - Metro access - Beach nearby",8.7
Catalonia Albeniz,Barcelona,3,BA_0001_004,106,Double,"Sant Martí, Barcelona - 2.7 km - Metro access - Beach nearby",8.7
Catalonia Albeniz,Barcelona,3,BA_0001_005,106,Double,"Sant Martí, Barcelona - 2.7 km - Metro access - Beach nearby",8.7
Catalonia Albeniz,Barcelona,3,BA_0001_006,106,Double,"Sant Martí, Barcelona - 2.7 km - Metro access - Beach nearby",8.7
Catalonia Albeniz,Barcelona,3,BA_0001_007,106,Double,"Sant Martí, Barcelona - 2.7 km - Metro access - Beach nearby",8.7
