Hotel id,City,Stars,Room id,Price,Room Type,Details,Rating
Albergo Marisa,Barcelona,3,RO_0000_000,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_001,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_002,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_003,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_004,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_005,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_006,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_007,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_008,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_009,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_010,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_011,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_012,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_013,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_014,88,Double,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_015,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_016,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_017,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_018,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_019,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_020,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_021,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_022,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_023,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_024,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_025,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_026,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_027,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_028,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
Albergo Marisa,Barcelona,3,RO_0000_029,60,Single,"Central Station, Rome - 1.9 km - Metro access -",7.4
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_000,67,Double,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_001,67,Double,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_002,67,Double,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_003,67,Double,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_004,67,Double,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_005,67,Double,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_006,67,Double,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_007,67,Double,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_008,67,Double,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_009,67,Double,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_010,67,Double,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_011,67,Double,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_012,95,Triple,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_013,95,Triple,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_014,95,Triple,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_015,95,Triple,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_016,95,Triple,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_017,95,Triple,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_018,95,Triple,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_019,95,Triple,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_020,95,Triple,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_021,95,Triple,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_022,95,Triple,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_023,95,Triple,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_024,95,Triple,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma Pietralata Tiburtina,Barcelona,3,RO_0001_025,95,Triple,"Tiburtino, Rome - 6.3 km - Metro access -",8.7
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_000,85,Double,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_001,85,Double,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_002,85,Double,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_003,85,Double,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_004,85,Double,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_005,85,Double,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_006,85,Double,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_007,85,Double,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_008,85,Double,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_009,85,Double,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_010,85,Double,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_011,70,Single,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_012,70,Single,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_013,70,Single,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_014,70,Single,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_015,70,Single,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_016,70,Single,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_017,70,Single,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_018,70,Single,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_019,70,Single,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_020,70,Single,"San Lorenzo, Rome - 3 km -",8.9
B&B Hotel Roma San Lorenzo Termini,Barcelona,3,RO_0002_021,70,Single,"San Lorenzo, Rome - 3 km -",8.9
BB Hotels Smarthotel Bailey's,Barcelona,4,RO_0003_000,137,Suite,"Via Veneto, Rome - 1.7 km - Metro access -",9.3
BB Hotels Smarthotel Bailey's,Barcelona,4,RO_0003_001,137,Suite,"Via Veneto, Rome - 1.7 km - Metro access -",9.3
BB Hotels Smarthotel Bailey's,Barcelona,4,RO_0003_002,137,Suite,"Via Veneto, Rome - 1.7 km - Metro access -",9.3
BB Hotels Smarthotel Bailey's,Barcelona,4,RO_0003_003,137,Suite,"Via Veneto, Rome - 1.7 km - Metro access -",9.3
BB Hotels Smarthotel Bailey's,Barcelona,4,RO_0003_004,137,Suite,"Via Veneto, Rome - 1.7 km - Metro access -",9.3
BB Hotels Smarthotel Bailey's,Barcelona,4,RO_0003_005,137,Suite,"Via Veneto, Rome - 1.7 km - Metro access -",9.3
BB Hotels Smarthotel Bailey's,Barcelona,4,RO_0003_006,137,Suite,"Via Veneto, Rome - 1.7 km - Metro access -",9.3
BB Hotels Smarthotel Bailey's,Barcelona,4,RO_0003_007,137,Suite,"Via Veneto, Rome - 1.7 km - Metro access -",9.3
BB Hotels Smarthotel Bailey's,Barcelona,4,RO_0003_008,137,Suite,"Via Veneto, Rome - 1.7 km - Metro access -",9.3
BB Hotels Smarthotel Bailey's,Barcelona,4,RO_0003_009,137,Suite,"Via Veneto, Rome - 1.7 km - Metro access -",9.3
BB Hotels Smarthotel Bailey's,Barcelona,4,RO_0003_010,137,Suite,"Via Veneto, Rome - 1.7 km - Metro access -",9.3
Best Western Ars Hotel,Barcelona,4,RO_0004_000,90,Double,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_001,90,Double,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_002,90,Double,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_003,90,Double,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_004,90,Double,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_005,90,Double,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_006,90,Double,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_007,90,Double,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_008,90,Double,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_009,90,Double,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_010,90,Double,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_011,90,Double,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_012,90,Double,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_013,134,Triple,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_014,134,Triple,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_015,134,Triple,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_016,134,Triple,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_017,134,Triple,"Monte Sacro, Rome - 6.2 km -",8.0
Best Western Ars Hotel,Barcelona,4,RO_0004_018,134,Triple,"Monte Sacro, Rome - 6.2 km -",8.0
